Gewicht (kg);Eural codes;Verwerkings codes;Maand;Jaar;Dag;Week;kostprijs
5,5;200108;Composteren;2;2025;14;7;1,1549999713897705
9,5;200108;Composteren;1;2025;31;5;1,994999885559082
6,5;200108;Composteren;1;2025;17;3;1,3650000095367432
6,5;200108;Composteren;1;2025;3;1;1,3650000095367432
3,5;200108;Composteren;12;2024;20;51;0,73499995470047
3,5;200108;Composteren;12;2024;6;49;0,73499995470047
3,0;200108;Composteren;11;2024;22;47;0,6299999952316284
3,0;200108;Composteren;11;2024;8;45;0,6299999952316284
4,5;200108;Composteren;10;2024;25;43;0,9449999928474426
4,5;200108;Composteren;10;2024;11;41;0,9449999928474426
3,5;200108;Composteren;9;2024;27;39;0,73499995470047
6,5;200108;Composteren;9;2024;13;37;1,3650000095367432
4,5;200108;Composteren;8;2024;30;35;0,9449999928474426
5,5;200108;Composteren;8;2024;16;33;1,1549999713897705
5,5;200108;Composteren;8;2024;2;31;1,1549999713897705
6,0;200108;Composteren;7;2024;19;29;1,2599999904632568
3,0;200108;Composteren;7;2024;5;27;0,6299999952316284
5,5;200108;Composteren;6;2024;21;25;1,1549999713897705
8,0;200108;Composteren;6;2024;7;23;1,6799999475479126
2,5;200108;Composteren;5;2024;24;21;0,5249999761581421
5,0;200108;Composteren;5;2024;10;19;1,0499999523162842
7,0;200108;Composteren;4;2024;26;17;1,46999990940094
7,0;200108;Composteren;4;2024;12;15;1,46999990940094
8,0;200108;Composteren;3;2024;29;13;1,6799999475479126
8,5;200108;Composteren;3;2024;15;11;1,784999966621399
8,5;200108;Composteren;3;2024;1;9;1,784999966621399
6,5;200108;Composteren;2;2024;16;7;1,3650000095367432
6,5;200108;Composteren;2;2024;2;5;1,3650000095367432
6,5;200301;Verbranden;1;2025;17;3;2,6649999618530273
6,5;200301;Verbranden;12;2024;20;51;2,6649999618530273
5,5;200301;Verbranden;11;2024;22;47;2,3550000190734863
6,0;200301;Verbranden;10;2024;25;43;2,509999990463257
7,5;200301;Verbranden;9;2024;27;39;2,9749999046325684
5,0;200301;Verbranden;8;2024;16;33;2,1999998092651367
7,0;200301;Verbranden;7;2024;19;29;2,820000171661377
4,5;200301;Verbranden;6;2024;21;25;2,0450000762939453
5,0;200301;Verbranden;5;2024;24;21;2,1999998092651367
9,5;200301;Verbranden;4;2024;26;17;3,5949997901916504
7,5;200301;Verbranden;3;2024;29;13;2,9749999046325684
10,0;200301;Verbranden;3;2024;1;9;3,75
10,0;200301;Verbranden;1;2024;19;3;3,75
16,5;200301;Verbranden;1;2024;5;1;5,765000343322754
10,5;200301;Verbranden;12;2023;22;51;3,9050002098083496
14,0;200301;Verbranden;12;2023;8;49;4,990000247955322
15,0;200301;Verbranden;11;2023;24;47;5,300000190734863
9,5;200301;Verbranden;10;2023;27;43;3,5949997901916504
6,5;200301;Verbranden;10;2023;13;41;2,6649999618530273
8,0;200301;Verbranden;9;2023;29;39;3,130000114440918
7,5;200301;Verbranden;9;2023;15;37;2,9749999046325684
8,5;200301;Verbranden;9;2023;1;35;3,2849998474121094
7,5;200301;Verbranden;8;2023;18;33;2,9749999046325684
12,5;200301;Verbranden;8;2023;4;31;4,525000095367432
6,5;200301;Verbranden;7;2023;7;27;2,6649999618530273
6,5;200301;Verbranden;6;2023;23;25;2,6649999618530273
10,0;200301;Verbranden;6;2023;9;23;3,75
5,0;200301;Verbranden;5;2023;26;21;2,1999998092651367
10,0;200301;Verbranden;5;2023;12;19;3,75
7,5;200301;Verbranden;4;2023;28;17;2,9749999046325684
8,0;200301;Verbranden;4;2023;14;15;3,130000114440918
6,5;200301;Verbranden;3;2023;31;13;2,6649999618530273
14,5;200301;Verbranden;3;2023;17;11;5,144999980926514
10,5;200301;Verbranden;3;2023;3;9;3,9050002098083496
11,5;200301;Verbranden;2;2023;17;7;4,215000152587891
11,5;200301;Verbranden;2;2023;3;5;4,215000152587891
16,5;200301;Verbranden;1;2023;20;3;5,765000343322754
9,5;200301;Verbranden;1;2023;6;1;3,5949997901916504
11,0;200301;Verbranden;12;2022;23;51;4,059999942779541
14,5;200301;Verbranden;12;2022;9;49;5,144999980926514
9,5;200301;Verbranden;11;2022;17;46;3,5949997901916504
8,5;200301;Verbranden;10;2022;28;43;3,2849998474121094
9,5;200301;Verbranden;10;2022;14;41;3,5949997901916504
9,0;200301;Verbranden;9;2022;30;39;3,440000057220459
10,5;200301;Verbranden;9;2022;2;35;3,9050002098083496
16,5;200301;Verbranden;8;2022;19;33;5,765000343322754
7,0;200301;Verbranden;7;2022;22;29;2,820000171661377
15,0;200301;Verbranden;7;2022;8;27;5,300000190734863
8,0;200301;Verbranden;6;2022;24;25;3,130000114440918
10,0;200301;Verbranden;6;2022;10;23;3,75
15,0;200301;Verbranden;5;2022;27;21;5,300000190734863
13,5;200301;Verbranden;5;2022;13;19;4,835000038146973
9,5;200301;Verbranden;4;2022;29;17;3,5949997901916504
11,0;200301;Verbranden;4;2022;15;15;4,059999942779541
15,0;200301;Verbranden;4;2022;1;13;5,300000190734863
13,0;200301;Verbranden;3;2022;18;11;4,680000305175781
12,0;200301;Verbranden;3;2022;4;9;4,369999885559082
11,0;200301;Verbranden;2;2022;18;7;4,059999942779541
14,0;200301;Verbranden;2;2022;4;5;4,990000247955322
12,0;200301;Verbranden;1;2022;21;3;4,369999885559082
15,0;200301;Verbranden;1;2022;7;1;5,300000190734863
16,0;200301;Verbranden;12;2021;24;51;5,610000133514404
15,5;200301;Verbranden;11;2021;26;47;5,454999923706055
33,5;200301;Verbranden;11;2021;12;45;11,03499984741211
16,0;200301;Verbranden;10;2021;15;41;5,610000133514404
12,5;200301;Verbranden;10;2021;1;39;4,525000095367432
15,0;200301;Verbranden;9;2021;17;37;5,300000190734863
16,0;200301;Verbranden;9;2021;3;35;5,610000133514404
14,0;200301;Verbranden;8;2021;20;33;4,990000247955322
11,0;200301;Verbranden;8;2021;6;31;4,059999942779541
12,5;200301;Verbranden;7;2021;9;27;4,525000095367432
10,0;200301;Verbranden;6;2021;25;25;3,75
12,0;200301;Verbranden;6;2021;11;23;4,369999885559082
11,0;200301;Verbranden;5;2021;28;21;4,059999942779541
7,0;200301;Verbranden;5;2021;14;19;2,820000171661377
15,5;200301;Verbranden;4;2021;30;17;5,454999923706055
18,0;200301;Verbranden;4;2021;2;13;6,230000019073486
12,0;200301;Verbranden;3;2021;5;9;4,369999885559082
8,5;200301;Verbranden;2;2021;19;7;3,2849998474121094
13,0;200301;Verbranden;2;2021;5;5;4,680000305175781
14,0;200301;Verbranden;1;2021;22;3;4,990000247955322
11,5;200301;Verbranden;12;2020;29;53;4,215000152587891
15,0;200301;Verbranden;12;2020;11;50;5,300000190734863
0;150101;Recyclage;2;2025;14;7;0,4
0;150101;Recyclage;1;2025;17;3;0,4
0;150101;Recyclage;12;2024;24;52;0,4
0;150101;Recyclage;11;2024;26;48;0,4
0;150101;Recyclage;10;2024;29;44;0,4
0;150101;Recyclage;10;2024;1;40;0,4
0;150101;Recyclage;9;2024;3;36;0,4
0;150101;Recyclage;8;2024;6;32;0,4
0;150101;Recyclage;7;2024;9;28;0,4
0;150101;Recyclage;6;2024;11;24;0,4
0;150101;Recyclage;5;2024;14;20;0,4
0;150101;Recyclage;4;2024;16;16;0,4
0;150101;Recyclage;3;2024;19;12;0,4
0;150101;Recyclage;2;2024;20;8;0,4
0;150101;Recyclage;1;2024;23;4;0,4
0;150101;Recyclage;12;2023;26;52;0,4
0;150101;Recyclage;11;2023;28;48;0,4
0;150101;Recyclage;10;2023;31;44;0,4
0;150101;Recyclage;10;2023;3;40;0,4
0;150101;Recyclage;9;2023;5;36;0,4
0;150101;Recyclage;8;2023;8;32;0,4
0;150101;Recyclage;7;2023;11;28;0,4
0;150101;Recyclage;6;2023;13;24;0,4
0;150101;Recyclage;5;2023;16;20;0,4
0;150101;Recyclage;4;2023;18;16;0,4
0;150101;Recyclage;3;2023;21;12;0,4
0;150101;Recyclage;2;2023;21;8;0,4
0;150101;Recyclage;1;2023;24;4;0,4
0;150101;Recyclage;12;2022;30;52;0,4
0;150101;Recyclage;12;2022;2;48;0,4
0;150101;Recyclage;11;2022;4;44;0,4
0;150101;Recyclage;10;2022;7;40;0,4
0;150101;Recyclage;9;2022;9;36;0,4
0;150101;Recyclage;8;2022;12;32;0,4
0;150101;Recyclage;7;2022;15;28;0,4
0;150101;Recyclage;6;2022;17;24;0,4
0;150101;Recyclage;5;2022;20;20;0,4
0;150101;Recyclage;4;2022;22;16;0,4
0;150101;Recyclage;3;2022;25;12;0,4
0;150101;Recyclage;2;2022;25;8;0,4
0;150101;Recyclage;1;2022;28;4;0,4
0;150101;Recyclage;12;2021;31;52;0,4
0;150101;Recyclage;12;2021;3;48;0,4
0;150101;Recyclage;11;2021;5;44;0,4
0;150101;Recyclage;10;2021;8;40;0,4
0;150101;Recyclage;9;2021;10;36;0,4
0;150101;Recyclage;8;2021;13;32;0,4
0;150101;Recyclage;7;2021;16;28;0,4
0;150101;Recyclage;6;2021;18;24;0,4
0;150101;Recyclage;5;2021;21;20;0,4
0;150101;Recyclage;4;2021;23;16;0,4
0;150101;Recyclage;3;2021;26;12;0,4
